aX,aY,aZ,gX,gY,gZ
-0.091,-0.040,1.000,3.113,4.272,5.920
-0.093,-0.040,0.998,2.625,3.418,7.751
-0.093,-0.046,0.991,-0.122,2.258,9.094
-0.096,-0.055,0.986,-1.709,1.831,10.986
-0.094,-0.077,0.988,-1.953,2.014,13.062
-0.091,-0.092,0.988,-2.686,2.014,14.648
-0.089,-0.099,0.986,-2.380,2.380,15.991
-0.089,-0.109,0.999,-0.244,2.808,16.907
-0.086,-0.119,1.002,0.427,2.808,17.822
-0.082,-0.138,1.002,0.122,1.770,18.799
-0.082,-0.146,1.001,1.160,0.854,19.470
-0.072,-0.163,0.998,3.418,0.610,19.287
-0.080,-0.154,1.003,4.700,0.488,18.311
-0.083,-0.148,1.008,6.592,0.854,17.822
-0.088,-0.128,1.018,8.911,0.854,18.555
-0.091,-0.109,1.024,8.728,0.549,19.287
-0.094,-0.097,1.024,5.310,-0.244,18.555
-0.089,-0.093,1.011,2.319,-0.732,18.127
-0.077,-0.107,1.000,1.404,-0.732,17.273
-0.069,-0.125,0.982,1.404,0.427,15.076
-0.066,-0.137,0.968,2.197,2.686,11.597
-0.067,-0.139,0.964,4.639,5.432,7.812
-0.067,-0.132,0.963,7.996,7.935,4.639
-0.074,-0.126,0.969,11.292,10.010,2.258
-0.073,-0.134,0.978,12.939,11.292,0.916
-0.071,-0.153,0.990,14.465,11.353,0.427
-0.068,-0.166,1.000,14.465,10.254,0.427
-0.070,-0.172,1.001,12.451,8.850,-0.061
-0.071,-0.174,1.001,10.925,7.385,-0.549
-0.066,-0.173,0.998,10.315,6.226,-0.488
-0.063,-0.172,0.988,9.460,5.615,0.061
-0.061,-0.173,0.983,9.094,5.554,0.122
-0.063,-0.165,0.982,9.216,5.615,0.183
-0.066,-0.155,0.982,9.705,5.859,0.610
-0.072,-0.149,0.990,9.644,5.981,0.916
-0.073,-0.139,0.989,8.179,5.371,1.038
-0.072,-0.133,0.987,5.981,4.272,1.648
-0.072,-0.135,0.982,3.357,3.052,2.319
-0.070,-0.143,0.979,1.343,1.953,3.479
-0.065,-0.156,0.977,0.854,1.404,4.944
-0.064,-0.172,0.976,0.732,1.221,5.554
-0.067,-0.176,0.982,-0.061,0.916,5.676
-0.073,-0.174,0.988,-0.244,0.916,5.371
-0.071,-0.176,0.994,0.427,0.732,4.883
-0.072,-0.174,0.996,0.916,0.427,4.395
-0.067,-0.170,0.991,0.916,0.000,3.235
-0.068,-0.169,0.980,1.038,0.305,2.014
-0.067,-0.159,0.974,2.075,0.977,1.404
-0.068,-0.149,0.974,3.540,2.136,0.916
-0.070,-0.146,0.979,3.906,3.296,0.183
-0.095,1.729,1.437,45.654,49.377,-66.467
-0.120,1.612,1.443,-4.272,33.936,-45.288
-0.094,1.251,1.383,-54.321,15.930,-19.836
-0.036,0.820,1.295,-87.341,0.244,5.493
-0.039,0.412,1.204,-96.741,-9.338,30.823
-0.014,0.105,1.156,-72.815,-11.108,52.429
0.020,-0.071,1.159,-31.494,-8.728,71.045
0.021,-0.184,1.187,8.179,-6.897,85.266
0.055,-0.256,1.204,25.269,-9.583,95.825
0.086,-0.350,1.188,24.963,-18.860,106.750
0.135,-0.455,1.123,20.752,-29.480,116.943
0.184,-0.551,1.051,16.296,-37.415,124.146
0.206,-0.664,1.005,12.024,-41.748,128.113
0.217,-0.780,0.995,7.629,-43.457,127.930
0.232,-0.848,0.984,7.751,-43.213,125.610
0.204,-0.871,0.985,9.216,-42.297,120.483
0.169,-0.899,0.975,10.010,-40.771,113.892
0.140,-0.954,0.943,8.911,-39.673,110.107
0.111,-1.026,0.890,5.005,-39.307,109.070
0.081,-1.121,0.837,0.427,-38.696,107.910
0.062,-1.242,0.785,-6.714,-37.231,105.286
0.062,-1.423,0.741,-14.404,-35.034,101.685
0.038,-1.654,0.723,-19.897,-31.433,94.788
-0.008,-1.850,0.726,-34.424,-27.771,76.904
-0.048,-1.967,0.730,-53.894,-24.963,48.340
-0.097,-2.006,0.744,-56.519,-21.240,20.447
-0.101,-1.965,0.757,-37.903,-15.503,-2.808
-0.085,-1.809,0.759,-10.925,-10.864,-24.841
-0.078,-1.560,0.793,14.832,-7.202,-45.898
-0.074,-1.224,0.821,34.668,-4.822,-65.796
-0.062,-0.838,0.828,50.598,-4.272,-79.346
-0.056,-0.431,0.812,59.204,-4.456,-84.595
-0.054,-0.063,0.801,55.176,-3.540,-82.886
-0.053,0.211,0.787,39.063,-0.977,-76.721
-0.042,0.370,0.761,17.273,3.723,-67.322
-0.013,0.431,0.744,1.221,11.536,-55.908
-0.022,0.416,0.792,-4.456,21.423,-44.128
-0.023,0.311,0.881,1.587,29.785,-31.616
-0.013,0.185,0.969,14.038,34.180,-20.630
-0.006,0.111,1.026,23.804,36.438,-18.250
-0.008,0.063,1.079,28.992,37.964,-25.146
-0.041,0.047,1.132,33.569,37.048,-36.987
-0.064,0.073,1.155,37.842,34.668,-46.448
