aX,aY,aZ,gX,gY,gZ
-0.003,-0.362,1.664,-40.527,64.148,5.066
-0.022,-0.335,1.690,-39.978,56.763,-1.160
-0.024,-0.271,1.685,-32.959,48.523,-6.042
-0.039,-0.202,1.648,-24.719,39.917,-10.071
-0.181,-0.003,1.818,-16.357,27.771,-12.390
-0.544,0.581,4.000,-6.653,-33.752,1.160
0.076,-0.114,2.172,-42.419,-101.929,-3.723
0.267,-0.262,0.964,-50.476,-30.823,-31.555
-0.107,-0.292,0.844,-33.081,-32.043,-31.677
-0.020,-0.026,0.980,-38.513,-24.292,-19.226
-0.087,0.019,1.353,-18.738,-19.104,2.197
-0.136,-0.016,1.349,14.282,-14.832,5.432
-0.113,-0.016,1.194,30.090,-12.451,-0.549
-0.110,-0.041,1.054,36.316,-12.817,-6.409
-0.124,-0.035,0.979,31.006,-10.620,-8.179
-0.120,-0.017,0.946,19.348,-9.766,-6.836
-0.132,0.009,0.965,7.263,-8.484,-5.798
-0.142,-0.006,1.007,-3.113,-6.653,-5.005
-0.139,-0.048,1.048,-8.118,-5.615,-3.052
-0.136,-0.082,1.081,-9.155,-5.676,-0.549
-0.128,-0.115,1.095,-6.287,-6.409,2.930
-0.118,-0.148,1.086,-1.160,-7.996,6.775
-0.122,-0.170,1.071,4.028,-8.972,9.033
-0.125,-0.165,1.058,8.423,-8.911,8.911
-0.133,-0.153,1.046,12.573,-7.751,7.996
-0.138,-0.139,1.034,14.709,-5.615,6.714
-0.149,-0.118,1.034,15.381,-2.930,5.432
-0.152,-0.109,1.036,14.404,-0.610,3.906
-0.153,-0.105,1.030,11.292,0.916,2.747
-0.152,-0.107,1.022,7.751,1.343,1.709
-0.153,-0.114,1.019,3.723,0.793,0.732
-0.149,-0.117,1.014,0.488,-0.122,-0.244
-0.142,-0.117,1.007,-1.221,-0.671,-0.854
-0.136,-0.115,1.001,-1.770,-0.854,-1.038
-0.134,-0.107,0.994,-1.343,-0.488,-0.671
-0.130,-0.101,0.987,-0.122,-0.183,-0.061
-0.127,-0.105,0.981,1.404,0.061,0.916
-0.126,-0.101,0.974,2.441,0.244,1.648
-0.128,-0.096,0.970,3.662,0.488,2.014
-0.126,-0.094,0.964,4.700,1.038,2.441
-0.122,-0.089,0.961,4.822,1.221,2.502
-0.123,-0.086,0.964,4.333,1.465,2.380
-0.124,-0.088,0.965,3.845,1.343,2.563
-0.127,-0.085,0.970,3.174,1.343,3.174
-0.128,-0.090,0.975,2.686,1.465,3.906
-0.133,-0.091,0.981,1.831,1.038,4.211
-0.135,-0.096,0.989,1.709,0.977,4.578
-0.136,-0.099,0.991,1.587,1.038,4.822
-0.139,-0.104,0.988,1.709,0.793,5.005
-0.137,-0.109,0.985,1.831,0.427,4.822
-0.139,-0.112,0.985,2.441,0.427,4.395
-0.142,-0.113,0.982,2.625,0.366,3.723
-0.141,-0.110,0.981,2.747,0.427,3.662
-0.141,-0.111,0.983,3.052,0.610,3.479
-0.145,-0.107,0.982,2.991,0.977,3.235
-0.143,-0.104,0.986,3.845,1.465,3.113
-0.144,-0.114,0.985,3.723,1.953,3.845
-0.145,-0.115,0.986,3.113,2.136,4.150
-0.145,-0.115,0.990,3.296,2.502,4.517
-0.142,-0.120,0.995,2.625,2.502,4.700
-0.140,-0.124,0.998,1.709,2.258,4.639
-0.142,-0.119,1.000,1.160,2.441,4.517
-0.140,-0.118,0.997,1.160,2.625,4.456
-0.136,-0.125,0.997,2.014,3.113,4.578
