aX,aY,aZ,gX,gY,gZ
-0.000,-0.184,1.009,0.916,4.211,-1.038
0.014,-0.170,1.016,-0.671,4.761,-1.526
0.024,-0.154,1.028,-2.747,4.578,-1.465
0.026,-0.147,1.026,-3.174,3.601,-0.793
0.017,-0.149,1.013,-3.235,2.625,0.488
0.008,-0.154,1.002,-3.174,2.197,1.831
0.000,-0.159,1.001,-3.662,2.075,2.441
1.660,-0.259,0.930,8.240,31.494,-12.573
1.844,-0.127,0.956,-6.348,22.400,-13.062
1.949,0.032,1.009,-14.526,15.259,-16.907
1.955,0.104,1.035,-17.700,4.211,-18.188
1.828,0.075,1.048,-17.273,-10.376,-11.292
1.600,-0.011,1.025,-16.418,-25.330,-2.747
1.277,-0.092,0.949,-19.531,-40.588,6.592
0.933,-0.142,0.839,-25.574,-52.979,15.686
0.637,-0.185,0.794,-32.043,-56.152,20.569
0.419,-0.241,0.851,-37.964,-50.293,21.973
0.228,-0.271,0.947,-43.335,-42.664,20.325
0.053,-0.302,1.004,-43.579,-36.987,17.029
-0.091,-0.322,1.012,-37.109,-31.982,12.817
-0.197,-0.338,1.009,-31.677,-26.062,7.141
-0.286,-0.340,1.034,-29.419,-20.752,1.831
-0.361,-0.333,1.066,-27.954,-17.944,-1.892
-0.428,-0.324,1.121,-26.428,-17.883,-3.967
-0.517,-0.314,1.167,-26.245,-19.836,-4.578
-0.618,-0.282,1.187,-27.222,-23.376,-3.906
-0.707,-0.247,1.169,-23.682,-26.733,-2.930
-0.754,-0.213,1.109,-15.076,-28.015,-2.808
-0.760,-0.201,1.051,-5.737,-26.978,-2.808
-0.731,-0.211,1.018,0.671,-23.743,-2.808
-0.699,-0.179,1.002,5.005,-20.020,-3.113
-0.651,-0.148,0.976,11.902,-15.991,-3.357
-0.578,-0.136,0.959,19.104,-11.414,-3.845
-0.496,-0.144,0.955,22.888,-6.714,-4.333
-0.434,-0.159,0.943,22.583,-2.563,-4.211
-0.390,-0.155,0.946,16.235,1.343,-4.272
-0.349,-0.126,0.953,10.071,5.432,-4.272
-0.286,-0.130,0.958,9.338,10.071,-4.272
-0.209,-0.144,0.959,12.024,13.611,-3.784
-0.144,-0.133,0.954,14.526,15.808,-3.113
-0.080,-0.108,0.949,14.771,18.066,-3.052
-0.021,-0.084,0.966,12.390,18.372,-2.441
0.032,-0.074,0.990,9.827,17.700,-0.488
0.073,-0.081,1.000,8.301,15.503,2.380
0.097,-0.081,1.016,3.174,12.634,5.493
0.103,-0.078,1.029,-4.028,10.010,8.911
0.097,-0.080,1.042,-9.521,6.592,12.512
